Come in!	Qǐng jìn!	请进！
The temperature is just 11 degrees, I'm still wearing a down coat.	Qìwēn cái shíyī dù, wǒ hái chuānzhe yǔróngfú.	气温才十一度，我还穿着羽绒服。
I can suggest a good itinerary.	Wǒ kěyǐ tuījiàn yíge hěn hǎo de lǚyóu lùxiàn.	我可以推荐一个很好的旅游路线。
He's tried every method.	Tā shìguo gèzhǒng fāngfǎ.	他试过各种方法。
It's a poem that describes a moonlit night scene.	Shi yì shǒu miáoxiě yuèyè jǐngsè de shī.	是一首描写月夜景色的诗。
Moonlight illuminates a tree.	Yuèguāng zhào zài shùshang.	月光照在树上。
A monk arrives in front of the temple gates.	Yíge héshang láidào sìmiào ménqián.	一个和尚来到寺庙门前。
Riding on a litter, he was just passing.	Tā zuòzhe jiàozi zhèng jīngguo.	他坐着轿子正经过。
It's not far from here, won't take half an hour to get there.	Lí zhèr bù yuǎn, yòngbuliǎo bànge xiǎoshí jiù dàole.	离这儿不远，用不了半个小时就到了。
Now I'm also getting to like classical poetry.	Xiànzài wǒ yě xǐhuān-qǐ-gǔshī-láile.	现在我也喜欢起古诗来了。
It's not like you don't know the harm of smoking. 	Nǐ yòu búshì bù zhīdào chōuyān de huàichu.	你又不是不知道抽烟的坏处。
At the very least, you live five minutes less for each one you smoke.	Chōu yì zhī qǐmǎ shǎohuó wǔ fēn zhōng.	抽一支起码少活五分钟。
Waiter, I'll pay the bill.	Fúwùyuán, máidān.	服务员，埋单。
Here's the bill.  (waiter, in a restaurant)	Zhè shi zhàngdān.	这是账单。
Please wait a moment.  (I'll be right back with your change)	Qǐng shāo děng.	请稍等。
It was me who invited everyone to come, I ought to pay.	Shi wǒ yuē dàjiā lái de, jiù gāi yóu wǒ fùqián.	是我约大家来的，就该由我付钱。
Let's go Dutch.  (split the bill equally)	Zánmen jiù AA zhì ba.	咱们就 AA 制吧。
They're on the field fighting for a football.	Tāmen zài qiúchǎngshang qiǎng yíge gǎnlǎnqiú.	他们在球场上抢一个橄榄球。
You move even faster than me.  (in picking up the check)	Nǐmen hái bǐ wǒ dòngzuò kuài.	你们还比我动作快。
I propose a toast to you.	Wǒ xiàng nǐ jìngjiǔ.	我向你敬酒。
May the most respected drink the first cup of wine.	Qǐng zuì shòu zūnjìng de rén hē dìyī bēi jiǔ.	请最受尊敬的人喝第一杯酒。
Please raise your hand.	Qǐng jǔ shǒu.	请举手。
We ate with our hands according to the custom there.	Wǒmen àn nàr de fēngsú yòng shǒu zhuā fàn chī.	我们按那儿的风俗用手抓饭吃。
Of course, it's the company that pays the bill.	Dāngrán yóu gōngsī fùzhàng.	当然由公司付账。
It's not a big deal.	Méi shénme dàbuliǎo de.	没什么大不了的。
Living a few years less, it saves you from suffering.	Shǎo huó jǐ nián, shěng de huó shòuzuì.	少活几年，省得活受罪。
It's not like I'm purposely not quitting. (smoking)	Wǒ yòu bú shì chéngxīn bú jiè.	我又不是成心不戒。
One day you quit, the next day you start up again.	Nǐ tiāntiān jiè tiāntiān kāijiè.	你天天戒天天开戒。
You quit, you quit, but you still can't quit.  (of smoking)	Jiè lái jiè qù, hái shi jièbuliǎo.	戒来戒去，还是戒不了。
Anything's hard when you get addicted.	Shénmeshìr jiù pà shàngyǐn.	什么事儿就怕上瘾。
If you've caught something, we have to cure it promptly.	Déle bìng zán děi gǎnjǐn zhì.	得了病咱得赶紧治。
That all sounds good, but everything is a process, right? (let's go slow)	Huà shi zhème shuō, kě zǒng děi yǒu ge guòchéng ba?	话是这么说，可总得有个过程吧？
You chain smoker, what am I going to do with you?	Wǒ bǎ nǐ zhè yānguǐ a, zhēn méibànfǎ!	我把你这烟鬼啊，真没办法！
He'll eat and then leave; he ate and then left.	Tā chīle fàn jiù zǒu; tā chīle fàn jiù zǒule.	他吃了饭就走; 他吃了饭就走了。
We went to officially register and got a marriage license.	Wǒmen qù zhèngfǔ dēngjìle, yě nádào le jiéhūnzhèng.	我们去政府登记了，也拿到了结婚证。
On getting married, you have to have a wedding.  (party)	Jiéhūn yào jǔxíng hūnlǐ.	结婚要举行婚礼。
The bride has to sit in a marriage litter and you also have to hold a banquet.	Xīnniáng yào zuò huājiào, hái yào bǎi yànxí.	新娘要坐花轿，还要摆宴席。
We generally have weddings in church.	Wǒmen yìbān shi zài jiàotáng jǔxíng hūnlǐ.	我们一般是在教堂举行婚礼。
How am I going to break the ice?  (start a hard discussion)	Wǒ zěnme kāideliǎo kǒu?	我怎么开得了口？
Now you have to do it the new way, how is it you're still of the old mindset?	Xiànzài děi àn xīnde bànfǎ bàn, nǐ zěnme hái shi lǎo nǎojīn a?	现在得按新的办法办，你怎么还是老脑筋啊？
What are you calling 'old mindset'?  This is our custom.	Shénme jiào lǎo nǎojīn?  Zhè shi wǒmen de guīju.	什么叫老脑筋？这是我们的规矩。
This is my son-in-law.	Zhè shi wǒde gūye.	这是我的姑爷。
She answered an ad for a job as a cook.	Tā yìngpìn le chúshī de zhāopìn guǎnggào.	她应聘了厨师的招聘广告。
When it comes to how to address her parents, it's up to Jack himself to decide.	Shuōdào zěnme chēnghu tā de fùmǔ, yóu jiékè zìjǐ juédìng ba.	说到怎么称呼她的父母，由杰克自己决定吧。
Speaking of who pays the bill, ...	Shuōdào shéi lái máidān, ...	说到谁来埋单，...
It's just a few hundred dollars, no big deal.	Bú jiù shi jǐ bǎi kuài qián ma, méi shénme dàbuliǎo de.	不就是几百块钱吗，没什么大不了的。
Worse comes to worst, it'll cost us a few hundred dollars.	Dàbuliǎo huā jǐ bǎi kuài qián.	大不了花几百块钱。
Rather than suffer, it's better to go have an operation and remove it.	Yǔqí huó shòuzuì, bùrú qù kāidāo bǎ tā gē le.	与其活受罪，不如去开刀把它割了。
I didn't see him all day.	Wǒ yì tiān méi kànjian tā.	我一天没看见他。
His lifestyle is very frugal.	Tā shēnghuó jiéyuē de hěn.	他生活节约得很。
What did I tell you?	Wǒ shi zěnme gēn nǐ shuōde?	我是怎么跟你说的？
He was on the road to the capital city to take an exam.	Tā zài qù jīngchéng cānjiā kǎoshì de lùshang.	他在去京城参加考试的路上。
The horse comes to a halt.	Mǎ tíngbù.	马停步。
On top was written the first line of a couplet.	Shàngbian xiězhe yífù duìlián de shànglián.	上边写着一副对联的上联。
He saw a flag fluttering in the wind.	Tā kànjiàn yímiàn qízi, zài fēngzhōng piāoyáng.	他看见一面旗子，在风中飘扬。
Just on the day when he was holding his wedding ceremony, he received the notification.	Jiù zài tā jǔxíng hūnlǐ de nàtiān, tā shōudào le tōngzhī.	就在他举行婚礼的那天，他收到了通知。
It seems to me I've seen him someplace.	Wǒ hǎoxiàng zài nǎr jiànguo tā.	我好像在哪儿见过他。
He didn't go to class, *and* he didn't study well.	Tā méiyǒu qù shàngkè, yòu méiyǒu hǎohāo fùxí.	他没有去上课，又没有好好复习。
She hates the cold, but at the same time won't wear more clothing.	Tā hěn pà lěng, yòu bú yuànyi duō chuān yīfu.	她很怕冷，又不愿意多穿衣服。
I think 1 or 2 o'clock is still fine, as in the past.	Wǒ kàn háishi zhàojiù yī liǎng diǎn dōu xíng.	我看还是照旧一两点都行。
Don't compliment me.	Bié kuājiǎng.	别夸奖。
Why exactly don't you want to hear this?	Nǐ jiūjìng wèishénme bú yuànyi tīng zhè ge?	你究竟为什么不愿意听这个？
They started junior high the same year.	Tāmen tóng yì nián shàngle chūzhōng.	他们同一年上了初中。
We left the day before he went to Shanghai.	Tā qù shànghǎi de qián yì tiān wǒmen zǒule.	他去上海的前一天我们走了。
A month passed.	Yíge yuè guòqu le.	一个月过去了。
She is my ideal.	Tā shi wǒ de lǐxiǎng.	她是我的理想。
Recently he's been doing an internship.	Zuìjìn zhèng zài shíxí.	最近正在实习。
The year before he tested into university.  (When did she leave?)	Tā kǎoshàng dàxué de qián yì nián.	他考上大学的前一年。
The minute before the train started.  (When did they kiss?)	Kāichē de qián yì fēn zhōng.	开车的前一分钟。
He's causing trouble for me on purpose.	Tā chéngxīn gēn wǒ zhǎo máfan.	他成心跟我找麻烦。
You'll definitely think of something.  (a solution to your difficulty)	Nǐ yídìng xiǎngchū bànfǎ lái.	你一定想出办法来。
Anything gets easier if you take it seriously.	Shénme shìr dōu pà rènzhēn.	什么事儿都怕认真。
Waiter, do you serve crab here?	Fúwùyuán, zán zhèr yǒu pángxiè ma?	服务员，咱这儿有螃蟹吗？
Your dog is the same breed as mine.	Nǐ de gǒu gēn wǒ de shi tóng yíge pǐnzhǒng.	你的狗跟我的是同一个品种。
You have to read a lot of cookbooks.	Nǐ yào duō dú càipǔ.	你要多读菜谱。
I really can't eat any more.	Wǒ zhēn chībuxiàqule.	我真吃不下去了。
I quit my company job.	Wǒ cídiàole gōngsī de gōngzuò.	我辞掉了公司的工作。
The walls are brown.	Qiángbì shi kāfēisè de.	墙壁是咖啡色的。
This April Fool's day he came in.	Jīnnián yúrénjié nà tiān, tā jìnláile.	今年愚人节那天他进来了。
He was wearing a windbreaker.	Tā chuān yíjiàn fēngyī.	他穿一件风衣。
He wasn't taking pleasure in the coffee, but rather admiring that calligraphy painting.	Tā búshì zài xiǎngyòng kāfēi, érshi zài xīnshǎng nàfú zìhuà.	他不是在享用咖啡，而是在欣赏那副字画。
He beckoned to me with his hand.	Tā xiàng wǒ zhāozhāoshǒu.	他向我招招手。
He sat there motionless, lost in thought.	Tā zuò zài nàr jìngjīngde chénsī.	他坐在那儿静静地沉思。
You made me come out of my emotional suffering.	Nǐ ràng wǒ cóng gǎnqíng de tòngkǔ zhōng zǒulechūlái.	你让我从感情的痛苦中走了出来。
I used the coffeepot he gave me to make coffee.	Wǒ yòng tā sòng de nà bǎ kāfēihú zhǔ kāfēi.	我用他送的那把咖啡壶煮咖啡。
The room was both warm and peaceful.	Wūlǐ yòu wēnnuǎn yòu qīngjìng.	屋里又温暖又清静。
I looked for him for a good many days, I never found him.	Wǒ zhǎo tā zhǎole hǎo jǐ tiān, zǒng yě méiyǒu zhǎodào tā.	我找他找了好几天，总也没有找到他。
I've long thought of going back to my country, never had the time.	Wǒ zǎo jiù xiǎng huíguó, zǒng yě méiyǒu shíjiān.	我早就想回国，总也没有时间。
This time in the soccer competition, first place was our class.	Zhè cì zúqiú bǐsài dìyīmíng shi wǒmen bān.	这次足球比赛第一名是我们班。
Conserving water is a big problem.	Jiéyuē shuǐ shi yíge dà wèntí.	节约水是一个大问题。
This kind of bird has a very sharp beak.	Zhè zhǒng niǎo de zuǐ hěn jiān.	这种鸟的嘴很尖。
You should go back home and be a full-time housewife.	Nǐ yīnggāi huídào jiālǐ zuò quánzhí tàitai.	你应该回到家里做全职太太。
You can fulfill the role of holding up half the sky.	Nǐ néng fāhuī bànbiāntiān de zuòyòng.	你能发挥半边天的作用。
Practically all are two-wage-earner families.	Jīhū dōu shi shuāngzhígōng de jiātíng.	几乎都是双职工的家庭。
This isn't disrespecting women,  but rather ...	Zhè búshì kànbuqǐ fùnǚ, érshi ...	这不是看不起妇女，而是...
It's to better fulfill women's role.  (e.g. in society)	Shi wèile gèng hǎo de fāhuī fùnǚ de zuòyòng.	是为了更好地发挥妇女的作用。
The problem of finding employment is a big one.	Jiùyè de wèntí hěn dà.	就业的问题很大。
This isn't fair.	Zhè búshì gōngpíng.	这不是公平。
Men and women should have fair opportunities to compete.	Nánnǚ dōu yīnggāi yǒu gōngpíng jìngzhēng de jīhuì.	男女都应该有公平竞争的机会。
Men and women both enjoy the same kinds of rights.	Nánnǚ dōu xiǎngshòu tóngyàng de quánlì.	男女都享受同样的权利。
Thanks for letting me interview you.	Xièxie nǐ jiēshòu wǒ de fǎngwèn.	谢谢你接受我的访问。
Women bear the burden of half of society's work.	Fùnǚ dānfùzhe yíbàn de shèhuì gōngzuò.	妇女担负着一半的社会工作。
Like men, they play an important role in society's progress.	Tāmen gēn nánrén yíyàng, duì shèhuì de jìnbù fāhuīzhe zhòngyào de zuòyòng.	她们跟男人一样，对社会的进步发挥着重要的作用。
Of all workers in China, female workers make up 40 percent.	Zài quán zhōngguó de zhígōng zhōng, nǚzhígōng zhàn bǎi-fénzhī-sìshí.	在全中国的职工中，女职工占百分之四十。
There are female deputy prime ministers, female cabinet members, female diplomats.	Yǒu nǚ fùzǒnglǐ, nǚ bùzhǎng, nǚ wàijiāoguān.	有女副总理，女部长，女外交官。
Textile workers, nurses, practically all are women.	Fǎngzhī, hùshi, jīhū dōu shi fùnǚ.	纺织，护士，几乎都是妇女。
In feudal society, women didn't have societal status.	Zài fēngjiàn shèhuì zhōng, fùnǚ méiyǒu shèhuì dìwèi.	在封建社会中，妇女没有社会地位。
All their lives they had to submit to their parents.  (submit to/obey)	Tāmen yíbèizi yào fúcóng zìjǐ de fùmǔ.	她们一辈子要服从自己的父母。
Women in society have gotten status equal to a man's.	Fùnǚ zài shèhuìshang yǒule gēn nánzǐ píngděng de dìwèi.	妇女在社会上有了跟男子平等的地位。
The contradiction between family and occupation is a hard problem for professional women to resolve.	Jiātíng hé shìyè de máodùn shi zhíyè fùnǚ hěn nán jiějué de wèntí.	家庭和事业的矛盾是职业妇女很难解决的问题。
The remuneration earned by women is not as high as men's.	Fùnǚ dédào de bàochou méiyǒu nánrén gāo.	妇女得到的报酬没有男人高。
In summary, in order to fully realize male-female equality, ...	Zǒngdeláishuō, wèile wánquán shíxiàn nánnǚ píngděng, ...	总的来说，为了完全实现男女平等，...
I practically spent all my savings.	Wǒ jīhū bǎ jīxù dōu huāwánle.	我几乎把积蓄都花完了。
I shoulder my parents' living expenses.	Wǒ dānfù fùmǔ de shēnghuófèi.	我担负父母的生活费。
In order to protect mankind itself, we must all lay emphasis on the work of protecting the environment.	Wèile bǎohù rénlèi zìjǐ, wǒmen dōu yào zhòngshì huánjìng bǎohù de gōngzuò.	为了保护人类自己，我们都要重视环境保护的工作。
This is mainly up to her husband to take care of.  (she cleans, cooking is for him)	Zhè zhǔyào yóu tā zhàngfu guǎn.	这主要由她丈夫管。
The weather in Hong Kong is very humid. (lit. damp)	Xiānggǎng tiānqi hěn cháoshī.	香港天气很潮湿。
Those cities are relatively laid back. (pace is leisurely)	Nà xiē chéngshì bǐjiào yōuxián.	那些城市比较悠闲。
They're quick-tempered.  (temper is fidgety)	Píqì hěn fánzào.	脾气很烦躁。
Luckily the wound was shallow.	Xìnghǎo, shāngkǒu hěn qiǎn.	幸好，伤口很浅。
The part that was cut off was big.	Qiēdiào de bùfen hěn dà.	切掉的部分很大。
What I used was a liquid band-aid.	Wǒ yòngde shi yètǐ jiāobù.	我用的是液体胶布。
My wife does things carelessly.	Wǒ de qīzi zuò shì hěn cūxīndàyì.	我的妻子做事很粗心大意。
I got all the knives very sharp.	Wǒ bǎ suǒyǒu de dāo módào hěn lì.	我把所有的刀磨到很利。
The kitchen knife got dull, mom asked me to sharpen it up a bit.	Chúdāo dùnle, māma ràng wǒ náqù móyimó.	厨刀钝了，妈妈让我拿去磨一磨。
People are as if they've walked into a world architecture exposition.	Rénmén haǒxiàng zǒujìnle shìjiè jiànzhù bólǎnhuì.	人们好像走进了世界建筑博览会。
Their CEO is a female entrepreneur.	Tāmen de zǒngjīnglǐ shi wèi nǚ qǐyèjiā.	他们的总经理是位女企业家。
There are four old oxen.	Yǒu sì tóu lǎo huángniú.	有四头老黄牛。
She said self-confidently, I'm willing to be team leader.	Tā hěn zìxìn de shuō: wǒ yuànyì dāng duìzhǎng.	她很自信地说：我愿意当队长。
She bravely stood up.  (out of the group)	Tā yǒnggǎn de zhànlechulai.	她勇敢地站了出来。
Relying just on planting, farmers can't grow wealthy.	Zhǐ kào zhòngde, nóngmín shi fùbuqǐláide.	只靠种地，农民是富不起来的。
Only by undertaking a side occupation will farmers be able to earn more money.	Zhǐ yǒu gǎo fùyè, nóngmín cái néng zhèng gèng duō de qián.	只有搞副业，农民才能挣更多的钱。
She kept only five percent of the manpower planting.	Tā zhǐ liú bǎi-fēnzhī-wǔ de láodònglì zhòngde.	她只留百分之五的劳动力种地。
It was just like rolling a snowball.	Xiàng gǔn xuěqiú yíyàng.	像滚雪球一样。
One after another, they set running 12 enterprises.	Tāmen xiānhòu bànqǐle shíèr ge qǐyè.	他们先后办起了十二个企业。
Competition is extremely fierce.	Jìngzhēng fēicháng jīliè.	竞争非常激烈。
Those are real growth industries.	Nàxiē kě dōu shi zhāoyáng chǎnyè.	那些可都是朝阳产业。
There are guest houses and amusement parks.	Yǒu bīnguǎn hé yóulèyuán.	有宾馆和游乐园。
She certainly displayed entrepreneurial talent/capacity.	Tā quèshí biǎoxiàn qǐyèjiā de cáinéng.	她确实表现企业家的才能。
My dream (goal for the future) is very specific/definite.	Wǒ de lǐxiǎng hěn míngquè.	我的理想很明确。
Not only pocket-rich, but brain-rich.	Búdàn kǒudàifù, érqiě nǎodàifù.	不但口袋富，而且脑袋富。
The company collaborates with universities to run training classes for the staff.	Gōngsī gēn dàxué hézuò bàn zhígōng péixùn bān.	公司跟大学合作办职工培训班。
People with lower- and mid-level job titles make up more than 50 percent.	Yǒu chū zhōng jí zhíchēng de rén zhàn bǎi-fēnzhī-wǔshí yǐshàng.	有初中级职称的人占百分之五十以上。
We started up a nursery school.	Wǒmen bànqǐle yòu'éryuán.	我们办起了幼儿园。
Only by developing high technology can we develop the economy. (lit. science and technology)	Zhǐ yǒu fāzhǎn gāokējì, cái néng fāzhǎn jīngjì.	只有发展高科技，才能发展经济。
It's only possible to get him to come if you go invite him.	Zhǐ yǒu nǐ qù qǐng tā, cái néng bǎ tā qǐng lái.	只有你去请他，才能把他请来。
I'm thinking of going to work at a law office for a few years.	Wǒ xiǎng qù yíge lǜshī shìwùsuǒ gàn jǐ nián.	我想去一个律师事务所干几年。
I tested into a national public servant job.	Wǒ kǎole guójiā gōngwùyuán.	我考了国家公务员。
He's a judge.	Tā shi fǎguān.	他是法官。
My mom wants me to look for a job at a government-run firm.	Wǒ māma ràng wǒ dào guóyíng gōngsī zhǎo ge gōngzuò.	我妈妈让我到国营公司找个工作。
He has a stable salary.	Tā yǒu wěndìng de shōurù.	他有稳定的收入。
People of that generation were all assigned jobs by the government.  (lit. by the country)	Tāmen nà yídài rén, dōu yóu guójiā fēnpèi gōngzuò.	他们那一代人都由国家分配工作。
Even if you have your own ideas, you still have to obey the government's assignment.	Jíshǐ zìjǐ yǒu xiē xiǎngfǎ, yě děi fúcóng guójiā fēnpèi.	即使自己有些想法，也得服从国家分配。
We hope there will be challenges in life.	Wǒmen xīwàng shēnghuó zhōng yǒu tiǎozhàn.	我们希望生活中有挑战。
He called the deputy CEO to come to him.	Tā bǎ fù zǒngjīnglǐ jiào lái.	他把副总经理叫来。
I'm thinking to take a two-month vacation.	Wǒ xiǎng qù xiū liǎngge yuè jià.	我想去休两个月假。
He became well-known.	Tā chūlemíng.	他出了名。
First of all, he's interviewed by the assistant director.  (of the movie)	Shǒuxiān yóu fù dǎoyǎn miànshì.	首先由副导演面试。
If you change your mind, the damage to me is large.	Yàoshi nǐ gǎibiàn zhǔyì, wǒde sǔnshī jiù dà le.	要是你改变主意，我的损失就大了。
He's a swindler.	Tá shi ge piànzi.	他是个骗子。
This is an especially urgent matter.	Zhè shi jiàn tèbié jí de shìr.	这是件特别急的事儿。
In other words, to work for the government. (lit. take a salary from the nation)	Jiùshishuō, ná guójiā de gōngzī.	就是说，拿国家的工资。
Look at you, all dispirited/washed-out.	Qiáo nǐ nà yàngr, méijīngdǎcǎi de.	瞧你那样儿，没精打采的。
It's the exam doing it to me.	Hái búshì ràng kǎoshì nàode.	还不是让考试闹的。
The big test is coming right up and I've barely started.	Yǎnkàn jiù yào dà kǎole, wǒ zhèr bāzì hái méiyìpiě ne.	眼看就要大考了，我这儿八字还没一撇呢。
What do you say, isn't it worrying?  (that he's still not home)	Nǐ shuō jírén bù jírén?	你说急人不急人？
It makes it so these few days I can't eat.	Nòngde wǒ zhè jǐ tiān chī yě chībuxià.	弄得我这几天吃也吃不下。
Aren't you overdoing it?	Zhìyú mā?	至于吗？
I play cards and dance as usual.	Wǒ pái zhào dǎ, wǔ zhào tiào.	我牌照打，舞照跳。
Oil used to be cheap.  (petroleum product)	Shíyóu yǐqián hěn piányi.	石油以前很便宜。
In the past, China had a lot of people who were illiterate.	Zhōngguó cóngqián yǒu hěn duō rén bùshízì.	中国从前有很多人不识字。
I take the children to the seaside.	Wǒ dài háizi dào hǎibiān qù wán.	我带孩子到海边去玩。
It takes funding to develop education.	Fāzhǎn jiàoyù xūyào zījīn.	发展教育需要资金。
The river water by the side of the factory sustained damage.	Gōngchǎng pángbian de héshuǐ shòule sǔnshī.	工厂旁边的河水受了损失。
In overseas Chinese districts he is well-received.	Zài hǎiwài huárén dìqū shòu huānyíng.	在海外华人地区受欢迎。
We grew up singing his songs.	Wǒmen chàngzhe tā de gē zhǎngdàde.	我们唱着他的歌长大的。
He lived three years in XinJiang minority group occupied areas.	Tā zài xīnjiāng shǎoshù mínzú jūzhù de dìfang shēnghuó le sān nián.	他在新疆少数民族居住的地方生活了三年。
He's a Uighur.	Tā shi wéiwú'ěr rén	他是维吾尔人。
I established a profound feeling for them.	Wǒ gēn tāmen jiànlì le shēnhòu de gǎnqíng.	我跟他们建立了深厚的感情。
He lived in that remote place.	Tā zhù zài nà yáoyuǎn de dìfang.	他住在那遥远的地方。
People walking past her tent-house, turn their heads and, reluctant to leave, peep in. 	Rénmen zǒuguo tā de zhàngfáng dōu yào huítóu liúliàn de zhāngwàng.	人们走过她的帐房都要回头留恋地张望。
It's pink.	Shi fěnhóngsede.	是分红色的。
Her eyes are like the bright and beautiful moon.	Tāde yǎnjing hǎoxiàng míngmèi de yuèliang.	她的眼睛好象明媚的月亮。
He looked on the men and women, old and young there as his own kin.	Tā bǎ nàr de nánnǚ lǎoshǎo kànchéng shi zìjǐ de qīnrén.	他把那儿的男女老少看成是自己的亲人。
The young woman's braids are long.	Gūniang de biànzi cháng.	姑娘的辫子长。
Because of this song, the small town became famous.	Zhège xiǎo zhèn yīnwèi zhè shǒu gē chūlemíng.	这个小镇因为这首歌出了名。
They lived off their own two hands.	Tāmen kào zìjǐ de yì shuāng shǒu shēnghuó.	他们靠自己的一双手生活。
Cars can't be parked here.	Zhèlǐ bùnéng tíngfàng qìchē.	这里不能停放汽车。
We eat lunar New Year's eve dinner together.	Wǒmen yìqǐ chī niányèfàn.	我们一起吃年夜饭。
May you be prosperous!  (New Year's wish)	Gōngxǐfācái.	恭喜发财。
Taste this red-cooked fish.	Nǐ chángchang zhège hóngshāoyú.	你尝尝这个红烧鱼。
I fill dumplings.	Wǒ bāo jiǎozi.	我包饺子。
This is our custom.	Zhè shi zánmen de fēngsú.	这是咱们的风俗。
This is (lunar) New Year's eve, so we stay up all night.	Jīntiān chúxī, suǒyǐ wǒmen shǒusuì.	今天除夕，所以我们守岁。
He's setting off firecrackers.	Tā fàng biānpào.	他放鞭炮。
In the city of Beijing, setting off firecrackers is prohibited.	Běijīng chénglǐ jìnzhǐ fàng biānpào.	北京城里禁止放鞭炮。
We built a courtyard-type house.	Wómen gàile yíge sìhéyuàn.	我们盖了一个四合院。
We loaded a truckload-full of wood.	Wǒmen zhuāngle yì kǎchē de mùtou.	我们装了一卡车的木头。
After it's been renovated it'll look smaller.	Zhuāngxiūwánle jiù xiǎnde xiǎo la.	装修完了就显得小啦。
We finished unloading the things.	Wǒmen bǎ dōngxī xièwánle.	我们把东西卸完了。
We're not used to doing heavy work anymore.	Wǒmen bù xíguàn gànzhònghuó le.	我们不习惯干重活了。
They didn't laugh at us.	Tāmen méiyǒu xiàohuà wǒmen.	他们没有笑话我们。
They seemed to have some hesitation.  (e.g. about helping us)	Tāmen hǎoxiàng yǒu xiē yóuyù.	他们好像有些犹豫。
In less than an hour, they unloaded the whole vehicle.  (all the things therein)	Bú dào yíge xiǎoshí, jiù bǎ yìchē de dōngxi xièwánle.	不到一个小时，就把一车的东西卸完了。
He pats his clothing.  (i.e. dusts it off)	Tā pāipai yīfu.	他拍拍衣服。
A close neighbor means more than a distant relative.  (fixed saying)	Yuǎnqīn bùrú jìnlín.	远亲不如近邻。
We put it in the courtyard.	Wǒmen bǎ dōngxi bǎi zài yuànzi lǐ.	我们把东西摆在院子里。
This thing is for he himself to decide.	Zhè shì yóu tā zìjǐ juédìng.	这事由他自己决定。
You're happy-go-lucky by nature.	Nǐ shì tiānshēng de lètiānpài.	你是天生的乐天派。
It's almost the final exam.	Dàkǎo líntóu.	大考临头。
If you fail, how are you going to account for it to the teacher.	Yàoshi kǎozále, kàn nǐ zěnme gēn nǐ lǎoshī jiāodài.	要是考砸了，看你怎么跟老师交代？
If I fail, I fail.	Zále jiù zále bei.	砸了就砸了呗。
As I see it, you shouldn't be advising me.	Jiào wǒ shuō, nǐ búyòng quàn wǒ.	叫我说，你不用劝我。
What's to worry about?	Yǒu shénme hǎochóu de?	有什么好愁的？
In that case, I'm totally screwed. (no way out)	Nà wǒ jiù yìdiǎnr zhé dōu méile.	那我就一点儿辙都没了。
You bookworm, what am I going to do with you?	Wǒ bǎ nǐ zhège shūchóng, yìdiǎnr bànfǎ yě méiyǒu le.	我把你这个书虫，一点儿办法也没有了。
What can I say about you?  (you're hopeless)	Jiào wǒ zěnme shuō nǐ cái hǎo?	叫我怎么说你才好?
I promised him I'd do well on the test.	Wǒ gēn tā bǎozhèng shuō wǒ néng kǎohǎo.	我跟他保证说我能考好。
If you wear yourself down, what can you do?  (don't pull an all-nighter)	Shēntǐ kuǎle, nǐ hái néng gàn shénme?	身体垮了，你还能干什么？
Who cooked dinner for you last night?	Zuótiān wǎnshàng shi shéi gěi nǐ zuò de wǎnfàn?	昨天晚上是谁给你做的晚饭？
He especially enjoys playing Chinese chess.	Tā yóuqí àihào xìa xiàngqí.	他尤其爱好下象棋。
Do whatever you like.	Suí nǐde biàn.	随你的便。
I'm okay with whatever.	Wǒ suíbiàn.	我随便。
They got engaged!	Tāmen dìnghūn le.	他们订婚了。
I'm just about done.	Wǒ kuài yào zuòwánle.	我快要做完了。
Look how silly you look.	Kàn nǐ nà shǎ yàngr.	看你那傻样儿。
It's because I was troubled by my son taking ill.	Shi ràng wǒ érzi débìng nàode.	是让我儿子得病闹的。
Is your dissertation done?	Nǐ de lùnwén xiěwán le mā?	你的论文写完了吗？
It's really worrisome.	Zhēn jí rén.	真急人。
The homework the teacher gave today is too hard.	Jīntiān lǎoshī liú de zuòyè tài nánle.	今天老师留的作业太难了。
He's bringing pears and apricots.	Tā dài lái lí hé xìngr.	他带来梨和杏儿。
He pays us a New Year's call.	Tā gěi wǒmen bàinián.	他给我们拜年。
We give the children (lunar) New Year's money.	Wǒmen gěi háizi yāsuìqián.	我们给孩子压岁钱。
It's almost the end of the year.	Kuài dào niándǐ le.	快到年底了。
Can it be that they're upset with us?  (lit. complain/object)	Nándào shi duì wǒmen yǒu yìjiàn mā?	难道是对我们有意见吗？
School took us on a trip to the villages in the outskirts.	Xuéxiào zǔzhī wǒmen dào jiāoqū nóngcūn cānguānguo.	学校组织我们到郊区农村参观过。
The whole country is now living a fairly comfortable life.	Quánguó dōu guòshang xiǎokāng shēnghuó le.	全国都过上小康生活了。
I'm buying a color TV.	Wǒ mǎi yì tái cǎidiàn.	我买一台彩电。
From the television, one can learn agriculture techniques.	Cóng diànshì kěyǐ xuédào nóngyè jìshù.	从电视可以学到农业技术。
The  village got electricity last year.	Qùnián cūnlǐ tōngdiàn le.	去年村里通电了。
He felt it was unexpected.  (took him by surprise)	Tā gǎndào hěn tūrán.	他感到很突然。
We poor mountain peasants are beginning to have money.	Wǒmen qióng shāngōulǐ de nóngmín kāishǐ yǒuqián le.	我们穷山沟里的农民开始有钱了。
They sent agricultural technical experts.	Tāmen pàile nóngyè jìshùyuán.	他们派了农业技术员。
